,0,1,2,3,4,5,6,7,8,9,10
1,,3.8,,,,,,,,,
2,,,15.7,,,,,,,,
3,,,1.6,52.2,,,,,,,
4,,,0.6,5.1,192.8,,,,,,
5,,,,2.3,29.9,599.2,,,,,
6,,,,1.3,10.2,102.9,1235.5,,,,
7,,,,,5.6,37.5,375.3,2345.7,,,
8,6.1,,,,,9.2,61.9,495.7,1549.2,,
9,9.7,,,,,3.2,19.5,130.1,976.2,1627.0,
10,13.1,,,,,1.3,13.1,49.1,327.7,1311.0,1638.7

